#-----------------------------------------------------------------------------
# Date d'extraction : 26/12/2025 - 16h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATXHWD : Ecart de nombre de jours d'une vague de chaleur (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATXHWD;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATXHWD;
2779;42.9227;1.7988;RCP8.5;H1;12;
2780;42.9231;1.8966;RCP8.5;H1;11;
2781;42.9235;1.9943;RCP8.5;H1;11;
2782;42.9237;2.0921;RCP8.5;H1;10;
2783;42.9239;2.1899;RCP8.5;H1;8;
2784;42.924;2.2877;RCP8.5;H1;8;
2785;42.924;2.3855;RCP8.5;H1;10;
2786;42.9239;2.4833;RCP8.5;H1;11;
2787;42.9237;2.581;RCP8.5;H1;10;
2788;42.9235;2.6788;RCP8.5;H1;10;
2789;42.9231;2.7766;RCP8.5;H1;8;
2790;42.9227;2.8744;RCP8.5;H1;10;
2791;42.9221;2.9722;RCP8.5;H1;8;
2792;42.9215;3.0699;RCP8.5;H1;0;
2853;42.7147;9.0185;RCP8.5;H1;0;
2854;42.7086;9.1156;RCP8.5;H1;2;
2855;42.7023;9.2127;RCP8.5;H1;4;
2856;42.696;9.3097;RCP8.5;H1;4;
2857;42.6896;9.4067;RCP8.5;H1;8;
2893;42.9426;-1.039;RCP8.5;H1;0;
2894;42.9457;-0.9413;RCP8.5;H1;0;
2895;42.9486;-0.8436;RCP8.5;H1;19;
2896;42.9515;-0.7458;RCP8.5;H1;17;
2897;42.9543;-0.6481;RCP8.5;H1;18;
2898;42.9569;-0.5503;RCP8.5;H1;17;
2899;42.9595;-0.4525;RCP8.5;H1;17;
2900;42.962;-0.3547;RCP8.5;H1;16;
2901;42.9645;-0.2569;RCP8.5;H1;15;
2902;42.9668;-0.1591;RCP8.5;H1;15;
2903;42.969;-0.0613;RCP8.5;H1;12;
2904;42.9712;0.0365;RCP8.5;H1;12;
2905;42.9732;0.1343;RCP8.5;H1;24;
2906;42.9752;0.2321;RCP8.5;H1;16;
2907;42.9771;0.33;RCP8.5;H1;13;
2908;42.9789;0.4278;RCP8.5;H1;12;
2909;42.9806;0.5257;RCP8.5;H1;15;
2910;42.9822;0.6235;RCP8.5;H1;10;
2911;42.9837;0.7214;RCP8.5;H1;9;
2912;42.9851;0.8192;RCP8.5;H1;11;
2913;42.9865;0.9171;RCP8.5;H1;11;
2914;42.9877;1.015;RCP8.5;H1;9;
2915;42.9889;1.1129;RCP8.5;H1;10;
2916;42.99;1.2108;RCP8.5;H1;10;
2917;42.9909;1.3086;RCP8.5;H1;11;
2918;42.9918;1.4065;RCP8.5;H1;11;
2919;42.9927;1.5044;RCP8.5;H1;11;
2920;42.9934;1.6023;RCP8.5;H1;10;
2921;42.994;1.7002;RCP8.5;H1;12;
2922;42.9945;1.7981;RCP8.5;H1;10;
2923;42.995;1.896;RCP8.5;H1;10;
2924;42.9953;1.9939;RCP8.5;H1;10;
2925;42.9956;2.0918;RCP8.5;H1;11;
2926;42.9958;2.1897;RCP8.5;H1;10;
2927;42.9959;2.2876;RCP8.5;H1;10;
2928;42.9959;2.3855;RCP8.5;H1;10;
2929;42.9958;2.4834;RCP8.5;H1;11;
2930;42.9956;2.5813;RCP8.5;H1;11;
2931;42.9953;2.6792;RCP8.5;H1;11;
2932;42.995;2.7771;RCP8.5;H1;10;
2933;42.9945;2.875;RCP8.5;H1;10;
2934;42.994;2.9729;RCP8.5;H1;8;
2935;42.9934;3.0708;RCP8.5;H1;0;
2999;42.7676;9.3183;RCP8.5;H1;3;
3000;42.7612;9.4155;RCP8.5;H1;9;
3032;43.0013;-1.4345;RCP8.5;H1;0;
3033;43.0047;-1.3367;RCP8.5;H1;11;
3034;43.0081;-1.2389;RCP8.5;H1;0;
3035;43.0113;-1.1411;RCP8.5;H1;0;
